10ysd               23 41 04.61  +24 10 04.9  2000.0  # SN Ic-BL, r>20.5;  

10yow               21 54 23.30  +15 09 20.7  2000.0  # SN Ic +1703.7d, r>19.9;  

10xjv               00 10 29.13  +24 28 01.1  2000.0  # SN IIP, r>19.9;  

10xjr               02 49 19.49  -08 10 30.2  2000.0  # SN Ib +1748.7d, r>21.6;  

10xik               02 36 27.37  +09 53 17.8  2000.0  # SN Ic, r>19.9;  

10xfh               01 55 58.17  +37 07 59.7  2000.0  # SN Ic, r>19.9;  

10xem               01 47 06.88  +13 56 28.8  2000.0  # SN Ic-BL, r>20.1;  

10wve               23 56 44.05  +09 16 02.5  2000.0  # SN IIP, r>20.8;  

10wmf               21 56 15.70  +02 10 13.8  2000.0  # SN IIP, r>19.9;  

10wal               02 04 50.08  -02 25 46.4  2000.0  # SN Ic, r>21.3;  

10vwg               18 59 32.86  +19 24 25.7  2000.0  # SN Ic, r>20.5;  

10vnv               02 00 24.81  +24 34 44.2  2000.0  # SN Ib, r>19.9;  

10vgv               22 16 01.17  +40 52 03.3  2000.0  # SN Ic-BL, r>20.3;  

10vdl               23 05 48.88  +03 31 25.5  2000.0  # SN IIP, r>20.6;  

10uqn               23 06 57.46  +03 56 24.2  2000.0  # SN IIP, r>20.6;  

10uhn               22 27 29.72  +04 56 45.4  2000.0  # SN Ic, r>19.9;  

10uhf               16 52 46.68  +47 36 22.0  2000.0  # SN Ic, r>19.9;  

10ttd               02 06 52.17  -11 49 57.0  2000.0  # SN IIP, r=17.3;  

10tqv               22 46 55.06  +17 47 29.4  2000.0  # SN Ic, r>19.9;  

10tqi               23 20 47.73  +18 54 17.3  2000.0  # SN Ic, r>19.7;  

10tpa               23 04 40.96  -09 38 27.0  2000.0  # SN IIP, r>19.8;  

10tff               14 37 01.40  +48 32 40.6  2000.0  # SN IIP, r>20.9;  

10svt               03 37 17.83  -17 05 41.2  2000.0  # SN Ic +1777.7d, r>19.8;  

10rmn               00 16 25.40  +30 28 51.3  2000.0  # SN IIP, r>20.6;  

10rjs               01 40 29.16  +24 14 58.3  2000.0  # SN IIP, r>19.9;  

10rin               22 52 38.95  +13 00 36.6  2000.0  # SN IIP, r>19.9;  

10rem               17 17 43.60  +20 52 30.9  2000.0  # SN IIP, r>19.9;  

10qwz               23 35 18.61  +12 55 31.8  2000.0  # SN IIP, r>19.9;  

10qts               16 41 37.60  +28 58 21.1  2000.0  # SN Ic-BL, r>16.6;  

10qqd               22 21 58.30  +12 08 36.3  2000.0  # SN Ic, r>19.9;  

10qob               01 25 47.51  -01 22 30.1  2000.0  # SN IIP, r>19.4;  

10qif               23 07 14.99  +11 18 57.1  2000.0  # SN Ib, r>19.9;  

10pjg               23 23 08.01  +13 02 39.2  2000.0  # SN IIP, r>19.9;  

10pbi               21 12 35.77  +13 09 34.7  2000.0  # SN Ib +1794.7d, r>19.9;  

10osr               23 45 45.16  +11 28 42.4  2000.0  # SN IIP +1794.7d, r>19.9;  

10osn               23 23 07.98  +17 30 29.1  2000.0  # SN Ic, r>20.1;  

10ood               03 17 14.00  +41 28 10.3  2000.0  # SN Ic, r>19.8;  

10npd               23 20 12.62  -07 28 50.4  2000.0  # SN IIP, r>20.5;  

10nbf               18 07 31.07  +18 07 10.9  2000.0  # SN IIP, r>19.9;  

10myz               14 58 13.71  +48 11 28.2  2000.0  # SN IIP, r>19.9;  

10lbo               12 59 14.79  +61 27 02.2  2000.0  # SN Ic +1815.7d, r>19.9;  

10kui               13 31 38.54  +40 11 34.0  2000.0  # SN Ib, r>19.9;  

10iue               16 00 23.10  +37 44 57.0  2000.0  # SN Ic-BL, r>19.9;  

10inj               15 54 57.07  +53 46 19.0  2000.0  # SN Ib, r>19.9;  

10hyq               12 46 27.24  +40 45 00.3  2000.0  # SN IIP, r>19.9;  

10hpa               12 45 29.30  +53 51 47.4  2000.0  # SN IIP, r>19.9;  

10hny               15 04 25.29  +49 24 03.0  2000.0  # SN IIP +1854.7d, r>19.9;  

10hie               17 02 27.71  +28 31 57.6  2000.0  # SN Ic +1852.7d, r>19.9;  

10hgi               16 37 47.04  +06 12 32.3  2000.0  # SN Ib/c, r>19.9;  

10hfe               12 32 05.16  +66 24 23.9  2000.0  # SN Ic, r>19.9;  

10hdq               13 00 06.55  +47 39 59.5  2000.0  # SN IIP, r>19.9;  

10hcw               08 43 36.22  +50 12 38.5  2000.0  # SN Ib +1868.7d, r=18.6;  

10gvb               12 15 32.28  +40 18 09.5  2000.0  # SN Ic-BL, r>19.9;  

10gtn               13 16 17.96  +38 42 55.1  2000.0  # SN IIP, r>19.9;  

10glp               15 16 08.91  +69 11 23.4  2000.0  # SN IIP, r>19.9;  

