12mfx               07 08 08.78  +48 51 48.9  2000.0  # SN Ib, r>20.8;  

12lvt               10 38 40.08  -28 34 06.3  2000.0  # SN Ib, r=17.3;  

12ltw               07 16 41.80  +43 59 56.1  2000.0  # SN Ib +964.5d, r>21.0;  

12lpo               10 13 47.95  +03 26 02.6  2000.0  # SN Ib/c, r=17.7;  

12ldy               23 45 11.04  +23 09 18.8  2000.0  # SN Ibn, r>20.5;  

12ktu               04 26 20.58  -10 06 12.5  2000.0  # SN Ic +988.5d, r>20.1;  

12jxd               09 37 29.82  +23 09 50.2  2000.0  # SN Ic +1011.5d, r=20.9;  

12hvv               21 45 46.45  -00 03 25.1  2000.0  # SN Ic +1054.5d, r=19.0;  

12hni               22 31 55.86  -06 47 49.0  2000.0  # SN Ic +1111.1d, r=19.9;  

12gzk               22 12 41.53  +00 30 43.1  2000.0  # SN Ic, r=17.4;  

12gvr               16 05 13.32  +30 28 07.0  2000.0  # SN Ib/c, r>21.6;  

12gty               16 01 15.23  +21 23 17.4  2000.0  # SN Ic, r=22.0;  

12grr               16 25 14.52  +24 23 17.8  2000.0  # SN Ic-BL, r>20.3;  

12gps               02 37 49.70  -11 00 29.8  2000.0  # SN Ib, r>20.5;  

12gdy               14 55 05.24  +14 15 56.7  2000.0  # SN Ic-BL, r>19.9;  

12fsu               16 49 55.02  +30 53 11.6  2000.0  # SN Ic, r>19.9;  

12fgw               15 53 27.12  +33 21 04.2  2000.0  # SN Ic, r>19.9;  

12fes               16 00 35.13  +15 41 03.5  2000.0  # SN Ib, r=20.6;  

12elh               21 51 11.93  +12 53 34.0  2000.0  # SN Ic, r>21.1;  

12eaw               14 35 17.71  +35 07 04.1  2000.0  # SN Ib, r>19.9;  

12dtf               17 14 43.72  +45 18 19.0  2000.0  # SN Ic, r>17.9;  

12dcp               16 12 56.12  +32 30 43.2  2000.0  # SN Ibn, r>19.9;  

12cjy               14 34 27.31  +51 49 03.7  2000.0  # SN Ic, r>20.9;  

12cde               13 58 58.39  +36 14 26.4  2000.0  # SN Ib/c, r>19.9;  

12bwq               13 46 54.42  +25 17 27.2  2000.0  # SN Ib, r>19.9;  

12as                10 01 34.05  +00 26 58.4  2000.0  # SN Ic-BL, r>19.9;  

11rka               12 40 44.87  +12 53 21.4  2000.0  # SN Ic, r>18.7;  

11rfh               22 35 49.58  -00 22 26.1  2000.0  # SN Ic, r>21.1;  

11qiq               02 46 53.82  +38 56 46.9  2000.0  # SN Ib, r>20.1;  

11qcj               13 13 41.51  +47 17 57.0  2000.0  # SN Ic, r>20.0;  

11pnq               01 27 56.51  -02 01 40.4  2000.0  # SN Ib/c, r>19.3;  

11oni               21 17 56.84  +08 44 09.8  2000.0  # SN Ib/c, r>19.9;  

11mwk               21 35 01.39  +00 07 16.0  2000.0  # SN Ib/c, r>21.6;  

11mnb               00 34 13.25  +02 48 31.4  2000.0  # SN Ic, r>20.3;  

11lmn               17 30 16.33  +26 59 34.0  2000.0  # SN Ib/c, r>21.3;  

11lbm               23 48 03.20  +26 44 33.5  2000.0  # SN Ic-BL, r>18.6;  

11klg               22 07 09.92  +06 29 08.7  2000.0  # SN Ic +1435.1d, r>21.4;  

11kaa               17 26 24.17  +46 51 29.6  2000.0  # SN Ib +1436.5d, r>19.9;  

11jgj               16 31 32.35  +62 06 09.5  2000.0  # SN Ic +1435.5d, r>19.9;  

11izq               13 47 30.11  +40 04 32.5  2000.0  # SN Ib +1437.5d, r>21.0;  

11ixk               13 21 45.03  +31 14 04.6  2000.0  # SN Ic, r>19.9;  

11img               17 34 36.30  +60 48 50.6  2000.0  # SN Ic-BL +1442.5d, r>19.9;  

11ilr               23 07 32.50  +15 20 23.0  2000.0  # SN Ib, r>19.9;  

11hyg               23 27 57.34  +08 46 38.0  2000.0  # SN Ic, r>21.0;  

11gcj               16 41 35.91  +40 01 00.7  2000.0  # SN Ib/c, r>19.9;  

11dhf               17 22 51.47  +60 07 49.9  2000.0  # SN Ib +1530.5d, r>19.9;  

11cmh               13 10 21.74  +37 52 59.6  2000.0  # SN Ic-BL, r>20.9;  

11bov               12 56 53.94  +22 22 28.1  2000.0  # SN Ic +1557.5d, r>19.9;  

11bli               14 02 16.18  +33 39 41.5  2000.0  # SN Ib/c, r>19.9;  

11awe               13 55 47.87  +21 11 35.0  2000.0  # SN Ib, r>19.9;  

11all               08 30 02.25  +18 09 30.7  2000.0  # SN Ic, r>19.9;  

10acgq              12 17 44.13  +66 02 37.0  2000.0  # SN Ib, r>19.7;  

10acff              11 22 58.36  +17 02 27.1  2000.0  # SN Ib, r>19.9;  

10acbu              14 00 46.92  +59 20 16.5  2000.0  # SN Ic, r>19.9;  

10abck              23 20 22.28  +27 18 57.7  2000.0  # SN Ib, r>19.9;  

10aavz              11 20 13.36  +03 44 45.2  2000.0  # SN Ic-BL, r>19.9;  

10zcn               23 19 14.39  +26 03 11.6  2000.0  # SN Ic, r>19.9;  

10ysd               23 41 04.61  +24 10 04.9  2000.0  # SN Ic-BL, r>20.5;  

10yow               21 54 23.30  +15 09 20.7  2000.0  # SN Ic +1733.5d, r>19.9;  

10xjr               02 49 19.49  -08 10 30.2  2000.0  # SN Ib +1778.5d, r>21.6;  

10xik               02 36 27.37  +09 53 17.8  2000.0  # SN Ic, r>19.9;  

10xfh               01 55 58.17  +37 07 59.7  2000.0  # SN Ic, r>19.9;  

10xem               01 47 06.88  +13 56 28.8  2000.0  # SN Ic-BL, r>20.1;  

10wal               02 04 50.08  -02 25 46.4  2000.0  # SN Ic, r>21.3;  

10vwg               18 59 32.86  +19 24 25.7  2000.0  # SN Ic, r>20.5;  

10vnv               02 00 24.81  +24 34 44.2  2000.0  # SN Ib, r>19.9;  

10vgv               22 16 01.17  +40 52 03.3  2000.0  # SN Ic-BL, r>20.3;  

10uhn               22 27 29.72  +04 56 45.4  2000.0  # SN Ic, r>19.9;  

10uhf               16 52 46.68  +47 36 22.0  2000.0  # SN Ic, r>19.9;  

10tqv               22 46 55.06  +17 47 29.4  2000.0  # SN Ic, r>19.9;  

10tqi               23 20 47.73  +18 54 17.3  2000.0  # SN Ic, r>19.7;  

10svt               03 37 17.83  -17 05 41.2  2000.0  # SN Ic +1807.5d, r>19.8;  

10qts               16 41 37.60  +28 58 21.1  2000.0  # SN Ic-BL, r>16.6;  

10qqd               22 21 58.30  +12 08 36.3  2000.0  # SN Ic, r>19.9;  

10qif               23 07 14.99  +11 18 57.1  2000.0  # SN Ib, r>19.9;  

10pbi               21 12 35.77  +13 09 34.7  2000.0  # SN Ib +1824.5d, r>19.9;  

10osn               23 23 07.98  +17 30 29.1  2000.0  # SN Ic, r>20.1;  

10ood               03 17 14.00  +41 28 10.3  2000.0  # SN Ic, r>19.8;  

10lbo               12 59 14.79  +61 27 02.2  2000.0  # SN Ic +1845.5d, r>19.9;  

10kui               13 31 38.54  +40 11 34.0  2000.0  # SN Ib, r>19.9;  

10iue               16 00 23.10  +37 44 57.0  2000.0  # SN Ic-BL, r>19.9;  

10inj               15 54 57.07  +53 46 19.0  2000.0  # SN Ib, r>19.9;  

10hie               17 02 27.71  +28 31 57.6  2000.0  # SN Ic +1882.5d, r>19.9;  

10hgi               16 37 47.04  +06 12 32.3  2000.0  # SN Ib/c, r>19.9;  

10hfe               12 32 05.16  +66 24 23.9  2000.0  # SN Ic, r>19.9;  

10hcw               08 43 36.22  +50 12 38.5  2000.0  # SN Ib +1898.5d, r=18.6;  

10gvb               12 15 32.28  +40 18 09.5  2000.0  # SN Ic-BL, r>19.9;  

10fmx               14 38 36.67  +52 34 38.2  2000.0  # SN Ic, r>19.9;  

10fia               08 01 57.36  +33 09 45.2  2000.0  # SN Ib +1925.5d, r>20.9;  

10feq               12 12 21.40  +16 58 45.2  2000.0  # SN Ib +1928.5d, r>19.9;  

10fbv               10 07 24.23  -05 47 48.3  2000.0  # SN Ib +1928.5d, r>20.6;  

10eqi               15 06 56.97  +56 30 26.5  2000.0  # SN Ib +1942.5d, r>19.9;  

10ciw               12 33 25.46  +14 25 37.3  2000.0  # SN Ic-BL +1951.5d, r>20.4;  

10bzf               11 44 02.99  +55 41 27.6  2000.0  # SN Ic-BL +1959.5d, r>21.2;  

10bip               12 34 10.52  +08 21 48.5  2000.0  # SN Ic, r>20.2;  

10bhu               12 55 28.44  +53 34 28.7  2000.0  # SN Ic, r>19.9;  

10bfz               12 54 41.27  +15 24 17.0  2000.0  # SN Ic-BL +1986.9d, r>19.9;  

10cs                02 33 41.62  +34 22 17.1  2000.0  # SN Ic-BL, r>20.5;  

